Time,wx,wy,wz,qx,qy,qz,q0,x,y,z,vx,vy,vz
0.098,0.000989435,0.000661129,0.0345274,2.42513e-05,1.61782e-05,0.000562318,1,6.871e+06,753.903,0,-0.852515,7615.18,0
0.099,0.000999411,0.000667842,0.0352269,2.47462e-05,1.65086e-05,0.000579582,1,6.871e+06,761.518,0,-0.861126,7615.18,0
0.1,0.00100939,0.000674557,0.0359335,2.5246e-05,1.68424e-05,0.000597195,1,6.871e+06,769.133,0,-0.869737,7615.18,0
0.101,0.00101936,0.000681272,0.0366471,2.57507e-05,1.71795e-05,0.000615162,1,6.871e+06,776.748,0,-0.878348,7615.18,0
0.102,0.00102934,0.000687989,0.0373677,2.62605e-05,1.752e-05,0.000633486,1,6.871e+06,784.363,0,-0.88696,7615.18,0
0.103,0.00103931,0.000694708,0.0380953,2.67753e-05,1.78638e-05,0.000652169,1,6.871e+06,791.978,0,-0.895571,7615.18,0
0.104,0.00104928,0.000701428,0.0388299,2.72951e-05,1.8211e-05,0.000671217,1,6.871e+06,799.594,0,-0.904182,7615.18,0
0.105,0.00105926,0.00070815,0.0395715,2.78198e-05,1.85616e-05,0.000690632,1,6.871e+06,807.209,0,-0.912793,7615.18,0
0.106,0.00106923,0.000714874,0.0403202,2.83496e-05,1.89154e-05,0.000710418,1,6.871e+06,814.824,0,-0.921405,7615.18,0
0.107,0.0010792,0.000721598,0.0410758,2.88843e-05,1.92727e-05,0.000730578,1,6.871e+06,822.439,0,-0.930016,7615.18,0
0.108,0.00108917,0.000728325,0.0418385,2.94241e-05,1.96333e-05,0.000751116,1,6.871e+06,830.054,0,-0.938627,7615.18,0
0.109,0.00109914,0.000735053,0.0426082,2.99688e-05,1.99972e-05,0.000772035,1,6.871e+06,837.67,0,-0.947239,7615.18,0
0.11,0.00110911,0.000741783,0.0433849,3.05185e-05,2.03646e-05,0.000793339,1,6.871e+06,845.285,0,-0.95585,7615.18,0
0.111,0.00111907,0.000748515,0.0441686,3.10732e-05,2.07352e-05,0.000815031,1,6.871e+06,852.9,0,-0.964461,7615.18,0
0.112,0.00112904,0.000755248,0.0449594,3.16329e-05,2.11093e-05,0.000837116,1,6.871e+06,860.515,0,-0.973072,7615.18,0
0.113,0.00113901,0.000761984,0.0457571,3.21976e-05,2.14866e-05,0.000859595,1,6.871e+06,868.13,0,-0.981684,7615.18,0
0.114,0.00114897,0.000768721,0.0465619,3.27672e-05,2.18674e-05,0.000882474,1,6.871e+06,875.745,0,-0.990295,7615.18,0
0.115,0.00115893,0.00077546,0.0473737,3.33419e-05,2.22515e-05,0.000905755,1,6.871e+06,883.361,0,-0.998906,7615.18,0
0.116,0.0011689,0.000782201,0.0481925,3.39215e-05,2.2639e-05,0.000929442,1,6.871e+06,890.976,0,-1.00752,7615.18,0
0.117,0.00117886,0.000788943,0.0490183,3.45062e-05,2.30298e-05,0.000953538,1,6.871e+06,898.591,0,-1.01613,7615.18,0
0.118,0.00118882,0.000795688,0.0498511,3.50958e-05,2.3424e-05,0.000978047,1,6.871e+06,906.206,0,-1.02474,7615.18,0
0.119,0.00119878,0.000802435,0.050691,3.56904e-05,2.38215e-05,0.00100297,0.999999,6.871e+06,913.821,0,-1.03335,7615.18,0
0.12,0.00120874,0.000809183,0.0515378,3.629e-05,2.42224e-05,0.00102832,0.999999,6.871e+06,921.437,0,-1.04196,7615.18,0
0.121,0.0012187,0.000815934,0.0523917,3.68946e-05,2.46267e-05,0.00105409,0.999999,6.871e+06,929.052,0,-1.05057,7615.18,0
0.122,0.00122865,0.000822687,0.0532526,3.75041e-05,2.50344e-05,0.00108028,0.999999,6.871e+06,936.667,0,-1.05918,7615.18,0
0.123,0.00123861,0.000829442,0.0541205,3.81187e-05,2.54454e-05,0.00110691,0.999999,6.871e+06,944.282,0,-1.0678,7615.18,0
0.124,0.00124856,0.000836199,0.0549955,3.87382e-05,2.58597e-05,0.00113397,0.999999,6.871e+06,951.897,0,-1.07641,7615.18,0
0.125,0.00125852,0.000842958,0.0558774,3.93627e-05,2.62775e-05,0.00116147,0.999999,6.871e+06,959.512,0,-1.08502,7615.18,0
0.126,0.00126847,0.00084972,0.0567664,3.99922e-05,2.66986e-05,0.00118941,0.999999,6.871e+06,967.128,0,-1.09363,7615.18,0
0.127,0.00127842,0.000856484,0.0576623,4.06267e-05,2.71231e-05,0.00121779,0.999999,6.871e+06,974.743,0,-1.10224,7615.18,0
0.128,0.00128837,0.00086325,0.0585653,4.12662e-05,2.75509e-05,0.00124662,0.999999,6.871e+06,982.358,0,-1.11085,7615.18,0
0.129,0.00129832,0.000870018,0.0594753,4.19106e-05,2.79821e-05,0.0012759,0.999999,6.871e+06,989.973,0,-1.11946,7615.18,0
0.13,0.00130827,0.000876789,0.0603924,4.25601e-05,2.84167e-05,0.00130564,0.999999,6.871e+06,997.588,0,-1.12807,7615.18,0
0.131,0.00131821,0.000883562,0.0613164,4.32145e-05,2.88547e-05,0.00133584,0.999999,6.871e+06,1005.2,0,-1.13669,7615.18,0
0.132,0.00132816,0.000890338,0.0622474,4.38739e-05,2.9296e-05,0.00136649,0.999999,6.871e+06,1012.82,0,-1.1453,7615.18,0
0.133,0.0013381,0.000897116,0.0631855,4.45383e-05,2.97407e-05,0.00139762,0.999999,6.871e+06,1020.43,0,-1.15391,7615.18,0
0.134,0.00134805,0.000903897,0.0641306,4.52076e-05,3.01888e-05,0.00142921,0.999999,6.871e+06,1028.05,0,-1.16252,7615.18,0
0.135,0.00135799,0.00091068,0.0650827,4.5882e-05,3.06403e-05,0.00146128,0.999999,6.871e+06,1035.66,0,-1.17113,7615.18,0
0.136,0.00136793,0.000917466,0.0660418,4.65613e-05,3.10951e-05,0.00149382,0.999999,6.871e+06,1043.28,0,-1.17974,7615.18,0
0.137,0.00137787,0.000924254,0.0670079,4.72456e-05,3.15533e-05,0.00152684,0.999999,6.871e+06,1050.89,0,-1.18835,7615.18,0
0.138,0.0013878,0.000931045,0.0679811,4.79349e-05,3.20149e-05,0.00156034,0.999999,6.871e+06,1058.51,0,-1.19697,7615.18,0
0.139,0.00139774,0.000937839,0.0689612,4.86291e-05,3.24799e-05,0.00159433,0.999999,6.871e+06,1066.12,0,-1.20558,7615.18,0
0.14,0.00140767,0.000944636,0.0699484,4.93284e-05,3.29483e-05,0.00162881,0.999999,6.871e+06,1073.74,0,-1.21419,7615.18,0
0.141,0.00141761,0.000951435,0.0709426,5.00326e-05,3.342e-05,0.00166379,0.999999,6.871e+06,1081.36,0,-1.2228,7615.18,0
